日期,身份別,期貨多方交易口數,選擇權多方交易口數,期貨多方交易契約金額(千元),選擇權多方交易契約金額(千元),期貨空方交易口數,選擇權空方交易口數,期貨空方交易契約金額(千元),選擇權空方交易契約金額(千元),期貨多空交易口數淨額,選擇權多空交易口數淨額,期貨多空交易契約金額淨額(千元),選擇權多空交易契約金額淨額(千元),期貨多方未平倉口數,選擇權多方未平倉口數,期貨多方未平倉契約金額(千元),選擇權多方未平倉契約金額(千元),期貨空方未平倉口數,選擇權空方未平倉口數,期貨空方未平倉契約金額(千元),選擇權空方未平倉契約金額(千元),期貨多空未平倉口數淨額,選擇權多空未平倉口數淨額,期貨多空未平倉契約金額淨額(千元),選擇權多空未平倉契約金額淨額(千元)
2020/03/09,外資及陸資,373395,245208,455950136,1285893,360556,235242,434981903,1259005,12839,9966,20968233,26888.0,98984,139748,151550879,1739184,94955,240096,86967274,3264727,4029,-100348,64583605,-1525543
2020/03/10,自營商,103470,618337,105495522,2194287,96575,684555,96357910,2477369,6895,-66218,9137612,-283082.0,64664,410951,52967109,3329326,121319,408049,56721847,2356729,-56655,2902,-3754738,972597
2020/03/10,投信,108,7,217553,35,381,7,833462,189,-273,0,-615909,-154.0,6973,85,7831098,647,33558,0,67903612,0,-26585,85,-60072514,647
2020/03/10,外資及陸資,417212,291305,466253899,1486172,432041,285997,489932054,1303167,-14829,5308,-23678155,183005.0,94895,152969,141186771,1848051,103016,248009,100212125,2980691,-8121,-95040,40974646,-1132640
2020/03/11,自營商,84582,624993,84768375,1415963,83420,647865,87844226,1548719,1162,-22872,-3075851,-132756.0,72456,342662,55087047,3732374,127868,283077,61579882,2358336,-55412,59585,-6492835,1374038
2020/03/11,投信,70,60,136700,338,1041,60,2252555,386,-971,0,-2115855,-48.0,6957,85,7680144,759,34513,0,69013582,0,-27556,85,-61333438,759
2020/03/11,外資及陸資,346204,341023,412302711,1097220,343144,326752,402981896,1023311,3060,14271,9320815,73909.0,95460,133694,143639879,2032783,101065,226386,94150817,3429803,-5605,-92692,49489062,-1397020
2020/03/12,自營商,139370,467826,130446294,2834378,136383,489852,136643623,2712503,2987,-22026,-6197329,121875.0,82261,366428,58677047,6166328,134656,328943,70912847,3433046,-52395,37485,-12235800,2733282
2020/03/12,投信,37,15,73056,309,3360,74,6938574,1160,-3323,-59,-6865518,-851.0,6957,86,7359025,1789,37836,60,72977938,660,-30879,26,-65618913,1129
2020/03/12,外資及陸資,564859,205226,614973897,1516450,553091,214976,599978793,1504106,11768,-9750,14995104,12344.0,109439,145511,160616207,2748346,103261,247953,97932385,5561037,6178,-102442,62683822,-2812691
